company,会社
office,事務所
meeting,会議
department,部門、課
worker,労働者
several,いくつかの
job,仕事
money,お金
problem,問題
available,利用可能な
sales,売上高
quite,かなり
board,会議体
store,店、保管する
likely,起こりそうな
employee,従業員
customer,顧客
product,製品
vacation,休暇
increase,増加させる
machine,機械
president,社長
same,同じ
found,設立する
offer,申し出る
advertisement,広告
believe,信じる
order,順番、注文する
receive,受け取る
let,～に～をさせる
expensive,高価な
announcement,発表
due,納期、期限の
report,報告
possible,可能な
program,計画
secretary,秘書
price,価格
amount,量
university,大学
experience,経験
however,しかし、だけれども
survey,調査
bank,銀行
change,お釣り
cost,費用
manager,管理者、マネージャー
own,自身の
check,会計
current,現在の
factory,工場
though,～だけれども
quality,品質
purchase,購入する
contact,接点、連絡を取る
kind,親切な
major,主要な
probably,おそらく
purpose,目的
although,～だけれども
mention,言う、言及する
someone,誰か
present,現在の
thank,感謝、感謝する
important,重要な、大切な
complete,完了する
enough,十分な
least,最もすくない
passenger,乗客
state,言う
various,様々な
allow,許可する
appear,現れる
furniture,家具
market,市場
respond,返答する
almost,ほとんど
process,工程
government,政府
throughout,至るところに
extra,余分の
arrive,到着する
college,大学
museum,博物館
contract,契約
policy,政策、信念
budget,予算
virus,ウイルス
specific,特定の、特別な
research,研究、研究する
behind,～の後ろに
equipment,装置、設備
production,生産
industry,業界、産業
provide,提供する
consider,検討する、考える
delivery,郵送、配達
financial,金融の、財政の
result,結果
chance,機会
second,秒
regular,定期的に
prior,優先の
entire,全体の
design,設計する
completely,完全に
wonderful,素晴らしい
vehicle,車両、車
situation,状況
package,包み、荷物
begin,開始する
recent,最近の
serious,深刻な
across,交差して
library,図書館
account,口座
management,管理
expect,期待する
request,要望、要望する
popular,人気
conversation,会話
organization,組織
produce,生産する
notice,知らせる、お知らせ
speaker,話し手
community,共同体
idea,考え
cause,引き起こす
culture,文化
shipment,出荷
client,顧客
conference,会議
suggest,提案する
form,形作る
modern,近代の
union,組合
charge,充電する
fire,クビにする
sign,署名
decide,決定する
brochure,パンフレット、小冊子
ability,能力
international,国際的な
discuss,議論する
forward,前に進む、前に
deal,取引する
avoid,避ける
care,気にする
discount,割引する
construction,建設
director,取締役
public,公共の
bicycle,自転車
damage,損傷
extremely,非常に
editorial,社説の、編集の
reservation,予約
advantage,利点
address,住所
matter,事態
immediately,すぐに
ancient,古代の
unless,～でない限り
attend,出席する
legal,法的な
personal,個人的な
save,保存する、貯蓄する
hardly,ほとんど～ない
condition,条件
insurance,保険
century,世紀
corporation,法人
document,書類
perhaps,おそらく
continue,継続する
warranty,保証
refund,払い戻し
famous,有名な
directly,直接に
whether,どちらか
particular,特定の
additional,追加の
arrange,手配する
display,表示する
simply,単に
recently,最近、
common,共通の
exactly,正確に
natural,自然の
finally,ついに
dear,親愛なる
accounting,会計
surprised,驚いた
period,期間
value,値、価値
fill,満たす
accident,事故
general,一般的な
break,壊す
include,含む
piece,かけら、一部
range,範囲
return,返送する、返す
assistant,助手
foundation,基礎
western,西部の
real,実在の、本当の
neither,いずれもない
electric,電気の
especially,特に
benefit,利益を得る
industrial,工業用の、産業の
repair,修理する
billboard,看板
introduce,導入する、紹介する
factor,因子
roughly,約、およそ
material,材料
language,言語
understand,理解する
instead,代わりに
approximately,約、おおよそ
executive,幹部
mean,意味する
location,場所
clearly,明確に
resume,再開する
island,島
claim,請求する、クレーム
attention,注目
vice,副
truly,真に
precious,貴重な
seldom,めったに～ない
competition,競争
submit,提出する
happen,起こる
anywhere,どこにでも
district,地域
success,成功
effect,効果
overall,全体的な
region,地域
certain,特定の
necessary,必要な
unique,独特な
typical,典型的な
banknotes,紙幣
accurate,正確な
representative,代表者
control,制御する
salary,給与
certainly,確かに
boss,上司
fairly,かなり
effective,効果的な
application,応募(書類)
further,それ以上の
spread,広げる
describe,説明する、描く
grant,助成金、報償
dangerous,危険な
surely,確実に
advice,忠告、アドバイス
negative,否定的な
require,要求する
majority,過半数、大多数
despite,にもかかわらず
worth,価値のある
sort,種類
source,源、資源
activity,活動
traffic,交通
spend,過ごす
properly,正確に
facilitｙ,施設
expense,出費、費用
latest,最新の
remain,とどまる、残る
profit,利益
potential,潜在的な
issue,問題
million,百万
rate,比率
announce,を発表する
nearly,近く、ほとんど
section,部門
successful,成功している
rare,珍しい
exchange,交換、交換する
typically,典型的に
original,元来の
toward,の方へ
responsibility,責任
bottom,底
organizational,組織の
agree,同意する
involve,関与する
appointment,約束、アポ
decrease,減少する
improve,改善する
award,賞
monthly,毎月の
upcoming,次期、次の
guarantee,保証する
destination,目的地
along,に沿って
waste,無駄に使う、ごみ
moment,瞬間
former,元の、前の
feature,特徴、機能
regarding,に関して
correct,正しい、修正する
remove,取り外す
commercial,商業の
reduce,削減する
develop,開発する
apply,適用する
transportation,交通機関
economy,経済
except,除いて
cabin,船室
counter,相対する
sincerely,誠実に、敬具
emergency,緊急の
aspect,側面、外観
unit,単位
tax,税
ensure,確かにする
complaint,苦情
article,記事
deliver,運ぶ
originally,もともと
discovered,発見した
sufficient,十分な
nevertheless,にもかかわらず
handle,操作する
apologize,謝罪する
automation,自動化
loan,融資する、融資
laptop,ノートパソコン
delay,遅延する、遅延
express,表現する
beyond,を超えて
valuable,貴重な
pier,桟橋
metal,金属
difference,差、違い
terrible,ひどい
appropriate,適切な
individual,個々の
vote,投票、投票する
law,法
political,政治の
prefer,好む
firm,固い
labor,労働
method,方法
medium,中間の
cancer,癌
proposal,提案
unable,できない
smoke,吸う、煙
detail,詳細
promote,推進する、昇進する
minimum,最小の
pacific,太平洋の
statement,声明
festival,祭り
comfort,快適さ
relationship,関係
via,～経由で
remind,思い出させる
institution,機関
subject,主題
temperature,温度
microwave,電子レンジ
odor,臭い
climate,気候
fail,失敗する
resident,住民
capable,容量のある
severe,厳しい、シビア、真面目な
gather,集まる
growth,成長
electronic,電子
automobile,自動車
register,登録する
inform,知らせる
demand,需要
obtain,保つ
superior,優れた
audience,観客
unusual,珍しい
opportunity,機会
author,著者
consequently,結果的に
rest,休む
association,協会
transfer,転送する、乗り換える
committee,委員会
seriously,真剣に
eventually,最終的に
regularly,定期的に
additionally,さらに
responsible,責任のある
device,機器、装置
recall,呼び戻す
approval,承認
comfortable,快適な
confident,自信のある
administrative,行政の
concern,懸案する
apparently,明らかに
registration,登録
electricity,電気
enclosed,同封された
crowded,混雑した
eligible,資格のある
assistance,支援
attempt,試みる
useful,役に立つ
sight,景色
soil,土壌
payment,支払い
participate,参加する
confidential,機密の
absolutely,確実に
inventory,在庫
inexpensive,安価な
otherwise,そうでなければ
proper,適切な
prize,賞
secretarｙ,秘書
educational,教育の
reliable,信頼できる
quarterly,四半期
manage,管理する
efficiently,効率的に
encourage,奨励する
exclusively,排他的な
reduction,削減
sentence,文
heat,熱
flavor,風味
disagree,反対する
degree,程度
mobile,携帯の
dialog,会話記録
lawyer,弁護士
luggage,荷物
object,物、目的
marketing,市場調査
haven,避難所
frank,率直な
disaster,災害
profitable,収益のある
indicate,を示す
respect,尊重する
extension,拡張
reasonable,合理的な
roast,焙る
contain,を含む
operate,操作する
depend,頼る
bound,～行きの
agent,仲介業者
classical,古典的な
task,任務、仕事
authority,権限
chemical,化学の
agenda,議題
discussion,議論
ceremony,式
earthquake,地震
vet,獣医
approach,近づく
technician,技術者
attendant,主席者
trade,取引する、取引
subscription,処方箋、定期購読
capacity,容量
accept,受け入れる
automated,自動化した
attached,付属の
complex,複雑な
candidate,候補者
edge,端
departure,出発
duty,職務、義務
attendance,出席
deadline,締め切り
attitude,態度
distribute,配布する
effort,努力
brain,脳
ban,禁止する、禁止
confused,混乱した
congress,会議
employment,雇用
refer,参照する
meal,食事
honor,名誉
renovation,改装
friendly,優しい
excuse,言い訳
freeway,高速道路
highway,高速道路
functionality,機能
restroom,トイレ
essentially,本質的に
moreover,さらに
obvious,明白な
immediate,即時の
ozone,オゾン層の
permission,許可
opinion,意見
reputation,評判
magic,魔法
operator,操作者
satellite,衛星
hygiene,衛生
initially,最初に
optimum,最適
initial,初期の
identify,識別する
establish,設立する
hundreds,何百もの
illegal,違法の
replace,交換する
receptionist,受付
expire,有効期限の切れた
manufacturer,メーカー、製造者
evidence,証拠
recommend,お勧めする
replacement,交換
satisfied,満足した
academy,学会、協会
content,内容
virtually,仮想上の
disappointed,がっかりした
worse,より悪い
assess,評価する
applause,拍手、賞賛
surface,表面
commercially,商業的に
crew,乗組員
decline,減少する、傾く
unlike,とは違って
accountant,会計士
society,社会
trash,ごみ
suggestion,提案
Celsius,摂氏
badly,ひどい
supply,供給する
species,種、種族
skill,技術
advertiser,広告主
compensation,補償
sweep,掃除する、掃く
sick,病気の
avenue,大通り
comply,準拠する
solve,解決する
specification,仕様
completion,完了
selected,選択した
transmission,伝送
vice president,副社長
closely,密接に
convention,大会
determine,決心する
corp.,～社
status,地位、状態
authorized,承認した
anniversary,～周年
cash,現金
average,平均の
exclusive,排他的な
influence,影響
impressive,印象的
popularity,人気
fault,失敗
machinery,機械の
funding,資金調達
incredible,信じられない
installation,導入
overtime,残業、延長
psychological,心理的な
intent,意図、意向
occur,発生する
qualified,資格を与えた
portfolio,人物像
practice,練習する
limit,制限
exercise,運動
equal,等しい
portion,部分
frequent,頻繁に
merely,単に
latter,後者
publication,出版物
failure,故障、失敗
prime,主な
innovative,革新的な
exist,存在する
favorable,好ましい
instance,衝動
archive,保管所
aquarium,水族館
rude,失礼な
sadly,悲しそうに
secretarial,秘書の
valid,有効な
altogether,完全に
agency,仲介業者
salesperson,販売員
rarely,めったに～ない
baggage,手荷物
suppose,仮定する、思う
science,科学
adopt,適用する
accurately,正確に
traditional,伝統的な
appreciate,感謝する
aisle,通路
atmosphere,雰囲気
acceptable,許容できる
somewhat,"やや,幾分か"
rid,取り除く
whatever,何でも
certificate,証明書
fuel,燃料
graduate,卒業する
clerk,係、フロント係
embarrassed,恥ずかしい
enthusiasm,熱意
competitive,競争力のある
grand,大きな
doubt,疑問を持つ
formal,形式の
empty,空の
explanation,説明
concerning,に関して
habit,習慣
considering,検討している
detailed,詳細の
equipped,装備した
estimated,見積もった
equivalent,等価の
examine,調べる
frozen,凍結した
guess,推測する、推測
conscious,意識のある
chairman,会長
defect,欠陥
fiction,創作
deliberately,故意に
forecast,予測
establishment,設立
concession,譲歩
division,部門
demonstrate,実証する
extreme,極端な
everywhere,至る所に
enterprise,企業
chairperson,委員長
elderly,高齢の
dedicated,捧げた
discover,発見する
hardness,硬度、かたさ
imperial,帝国の
productivity,生産性
recommended,推奨した
performed,実行した
objective,目標、目的
recommendation,推薦
mathematics,数学
procedure,手続き
patient,患者
layer,層
investor,投資家
improvement,改善
instrument,楽器、機器
shelter,避難所
invention,発明
itinerary,旅程、旅程表
recognition,認識
investment,投資
shopper,買い物客
maximum,最大
renter,賃借人
luxury,豪華な
personnel,人事
overseas,海外の、海外へ
rainforest,熱帯雨林
sensitive,敏感な
secure,安全な
invest,投資する
negotiation,交渉
option,選択
mayor,市長
merchandise,商品
retain,保持する
afford,買う余裕のある
admit,認める
warehouse,倉庫
barely,辛うじて
surplus,余剰
appliance,家電
actual,実際の
wage,賃金
subway,地下鉄
steel,鋼鉄
apart,離れた
vary,異なる、変わる
thousands,何千もの
structure,構造
supervise,監督する
survive,生き残る
agreement,合意
Americans,アメリカ人
significant,重要な
supervisor,上司
unfortunately,不運にも
accommodation,宿泊施設
bend,曲げる
toxic,有毒な
assumption,仮定
anticipate,期待する
urgent,緊急の
tremendous,驚異的な
capstone,絶頂、最高益
conclusion,結論
employ,採用する、雇う
editor,編集者
era,時代
earn,お金を稼ぐ
cooperation,協力
fair,公平な
extracted,抽出した
firsthand,じかに
exhibit,展示する
donate,寄付する
disease,病気
frequently,頻繁に
enormous,巨大な
carbon,炭素
gained,獲得した
fascinating,魅惑的な
encouraged,奨励した
foster,後継者
clientele,顧客、常連
destructive,破壊的な
cargo,貨物
CEO,代表取締役
expand,拡大する
combination,組み合わせ
evaluation,評価
custom,風習
evolution,進化
directions,方向
considerable,かなりの
consult,相談する
dynasty,王朝
contribution,貢献
employer,雇用者
foam,泡
flood,洪水
elder,年上の、年長の
odd,変わった、奇妙な
obviously,明らかに
patent,特許
medieval,中世の
inadvertently,うっかり
persuade,説得する
malfunctioning,誤動作
invoice,請求書、送り状
illness,病気
gladiator,闘技者
infect,感染する
logical,論理的な
medicine,薬
physical,物理的な、身体的な
mainly,主に
landfill,埋め立て
ideal,理想的な
massive,大規模な
necessarily,必ずしも
inconvenience,不便さ
obsession,強迫観念
patron,常連客
opposite,反対の
maintain,維持する
party,政党
innocent,罪のない
grateful,感謝して
origin,起源
incorrect,不正解
granger,農業労働者
outcome,結果
plaque,斑点
namely,すなわち
observe,観察する
personally,個人的に
mild,穏やかな
reject,拒否する
subscribe,購読する
rough,でこぼこの、大よその
settlement,移住
thorough,徹底した
property,財産
slight,わずかな
till,まで
proof,証拠
solid,固い
replicate,複製する
secret,秘密の
reference,参照
strictly,厳密に
square,四角形
scheme,計画
relative,親類の
remedy,救済策、治療
temporary,一時的な
thereby,それによって
regret,後悔する
renew,更新する
sightseeing,観光
slightly,わずかに
principal,主要な、主な
prompt,即座の、素早い
reimbursement,償還
proud,誇りに思う
restriction,制限
substitute,代替する
raw,生の
reflect,反映する
strategy,戦略
ridiculous,ばかげた
severely,まじめに
remaining,残り
postpone,延期する
accomplish,達成する
calculate,計算する
architectural,建築の
assignment,宿題、割り当て
belief,信念
charter,貸切
underlying,根底にある
valley,谷
trustee,管財人
aside,脇、横
arid,乾燥した
ambulance,救急車
upset,ひっくり返る、驚く
visible,目に見える
capability,容量、能力
utilize,活用する
usher,案内係
adversely,逆に、反対に
agriculture,農業
accidentally,誤って
bankrupt,破産した、破産
achieve,達成する
adequate,十分な
updates,更新する(三単現)
arrangement,手配
billion,十億
aware,気付いている
authorization,承認
applicant,出願人
broadcast,放送
aptitude,適性
interview,面接
annual,
participant,参加者
identification,身分証明書
council,議会
local,地元の、地方の
per,～につき
intend,～するつもりである
complimentary,無料の
beverage,飲み物
contemporary,現代の、近代の
inspection,検査、視察
grocery,食料品
invitation,招待
realize,わかる、実現する
quantity,数、数量
branch,支店
deposit,お金を預ける
protection,保護
multiple,複数の
inquire,尋ねる
ingredient,材料
revenue,収益
term,期間、専門用語
impress,印象を与える
acknowledge,認める
lease,貸し出す
landscape,景色
initiative,主導権
laboratory,実験室
accommodate,収容する
vendor,供給者
consumer,消費者
convenient,便利な
previous,以前の
congratulation,おめでとう、祝い
extend,延長する
therefore,したがって、だから
recruit,採用する、雇う
either,いずれか、どちらか
permit,許可証／許可する
example,例
verify,正しいと確認する
questionnaire,アンケート
enclose,同封する
highlight,目立たせる
prior to,…より前に
neighborhood,近所
prescription,処方箋
be supposed to,…であると思う
eatery,食事場所
definitely,間違いなく
affordable,値段が手頃な
directory,名簿
impact,影響、影響する
whenever,する時はいつでも
adjust,調整する、合わせる
relevant,関連のある
cuisine,料理
yield,産出する
autograph,著名人のサイン
accessible,行きやすい
enroll,入学する
digest,消化する
achievement,達成
decade,10年間
owe,借りている
practical,実践的な
undergo,経験する
outstanding,傑出した／未払いの
satisfaction,満足
auditorium,講堂
recipient,受取人
efficiency,効率
ladder,はしご
durable,耐久性のある
merger,合併
stack,積み重ねる
qualify,資格を与える
constant,絶え間なく続く
shortly,まもなく
municipal,市政の
comprehensive,包括的な
enhance,強調する
premise,前提、根拠
conclude,結論付ける
likewise,同様に
enlarge,拡大する
fluctuate,変動する
consecutive,連続した
meanwhile,一方で
prevent,事前に防ぐ
import,輸入、輸入する
fortunate,幸運な
urgency,緊急性
proficiency,熟練性
sustain,保持する
transcript,複写
overcome,克服する
utility,効用
whereas,にもかかわらず
income,収入
detour,回り道
reward,報償
vacancy,空きのある
mere,単に
competence,能力、適性
insight,洞察
discontinue,やめる、中止する
precise,正確な
crucial,重要な
reluctant,しぶしぶの
perceive,知覚する、認める
controversial,議論のある
fundamental,基本的な
gradually,だんだんと、徐々に
domestic,国内の
complicated,複雑な
population,人口
reimburse,払戻す
absence,欠席
shortage,欠品
landlord,大家、地主
coincidence,偶然
feasible,実行可能な